int logctl_get(): open '/dev/hwlog_switch' fail -1, 13. Permission denied
Note: log switch off, only log_main and log_events will have logs!
--------- beginning of system
12-20 17:03:26.007  1045  1389 D NetdConnector: RCV <- {601 limit alert globalAlert lo}
12-20 17:03:26.007  1045  1071 D NetdConnector: RCV unsolicited event from native daemon, event = 601 limit alert globalAlert lo
12-20 17:03:26.012  1045  1390 D NetdConnector: SND -> {881 bandwidth gettetherstats}
12-20 17:03:26.013  1045  1389 D NetdConnector: RCV <- {200 881 Tethering stats list completed}
12-20 17:03:26.014  1045  1389 D NetdConnector: RCV <- {200 881 Tethering stats list completed}
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory: read stats:
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory: NetworkStats: elapsedRealtime=24688571
12-20 17:07:17.623  4451  4811 I LiveCloudPlayer.java: [run:1571] cache duration: 27079
12-20 17:07:17.623  4451  4811 V PlayMonitor.java: [stat:57] stat. what: 0 arg1: 27079 arg2: 0 obj: 
12-20 17:07:17.623  4451  4811 D LiveCloudPlayer.java: [isPlaying:738] isPlaying
12-20 17:07:17.624  4451  4811 D LiveCloudPlayer.java: [setCurState:1828] CurState=PLAYING
12-20 17:07:17.627  4451  4494 I LocalServer: [2017-12-20 17:07:17.627686 4451 4494] on_server_data: offset=2420800, len=1360
12-20 17:07:17.627  4451  4494 I LocalServer: [2017-12-20 17:07:17.627928 4451 4494] on_server_data: offset=2422160, len=1360
12-20 17:07:17.629  4451  4494 I LocalServer: [2017-12-20 17:07:17.629351 4451 4494] on_server_data: offset=2423520, len=2720
12-20 17:07:17.629  4451  4494 I LocalServer: [2017-12-20 17:07:17.629611 4451 4494] on_server_data: offset=2426240, len=1360
12-20 17:07:17.633  4451  4494 I LocalServer: [2017-12-20 17:07:17.633718 4451 4494] on_server_data: offset=2427600, len=1360
12-20 17:07:17.634  4451  4494 I LocalServer: [2017-12-20 17:07:17.634257 4451 4494] on_server_data: offset=2428960, len=4080
12-20 17:07:17.634  4451  4494 I LocalServer: [2017-12-20 17:07:17.634480 4451 4494] on_server_data: offset=2433040, len=1360
12-20 17:07:17.635  4451  4494 I LocalServer: [2017-12-20 17:07:17.635406 4451 4494] on_server_data: offset=2434400, len=1360
12-20 17:07:17.635  4451  4494 I LocalServer: [2017-12-20 17:07:17.635641 4451 4494] on_server_data: offset=2435760, len=2720
12-20 17:07:17.636  4451  4556 V GL2VideoView.java: [onDrawFrame:263] onDrawFrame=-698089472
12-20 17:07:17.637  4451  4451 D LiveCloudPlayer.java: [getDuration:803] getDuration
12-20 17:07:17.637  4451  4451 D LiveCloudPlayer.java: [getCurrentPosition:818] getCurrentPosition
12-20 17:07:17.638  4451  4451 D PlayerActivity.java: [run:315] cache progress: 22
12-20 17:07:17.643  4451  4494 I LocalServer: [2017-12-20 17:07:17.643585 4451 4494] on_server_data: offset=2438480, len=1360
12-20 17:07:17.645  4451  4494 I LocalServer: [2017-12-20 17:07:17.645069 4451 4494] on_server_data: offset=2439840, len=1360
12-20 17:07:17.645  4451  4494 I LocalServer: [2017-12-20 17:07:17.645482 4451 4494] on_server_data: offset=2441200, len=1360
12-20 17:07:17.645  4451  4494 I LocalServer: [2017-12-20 17:07:17.645676 4451 4494] on_server_data: offset=2442560, len=1360
12-20 17:07:17.646  4451  4494 I LocalServer: [2017-12-20 17:07:17.645998 4451 4494] on_server_data: offset=2443920, len=1360
12-20 17:07:17.647  4451  4494 I LocalServer: [2017-12-20 17:07:17.647845 4451 4494] on_server_data: offset=2445280, len=1360
12-20 17:07:17.651  4451  4494 I LocalServer: [2017-12-20 17:07:17.651401 4451 4494] on_server_data: offset=2446640, len=1360
12-20 17:07:17.652  4451  4494 I LocalServer: [2017-12-20 17:07:17.652041 4451 4494] on_server_data: offset=2448000, len=4080
12-20 17:07:17.654  4451  4494 I LocalServer: [2017-12-20 17:07:17.653966 4451 4494] on_server_data: offset=2452080, len=2720
12-20 17:07:17.656  4451  4821 D LiveCloudPlayer.java: [onPlayerMsg:1130] JPLAYER_MSG_VIDEO_IS_READY. para1: 2526
12-20 17:07:17.656  4451  4494 I LocalServer: [2017-12-20 17:07:17.656157 4451 4494] on_server_data: offset=2454800, len=8192
12-20 17:07:17.657  4451  4494 I LocalServer: [2017-12-20 17:07:17.657047 4451 4494] on_server_data: offset=2462992, len=4048
12-20 17:07:17.659  4451  4494 I LocalServer: [2017-12-20 17:07:17.659408 4451 4494] on_server_data: offset=2467040, len=1360
12-20 17:07:17.660  4451  4494 I LocalServer: [2017-12-20 17:07:17.660736 4451 4494] on_server_data: offset=2468400, len=2720
12-20 17:07:17.662  4451  4556 V GL2VideoView.java: [onDrawFrame:263] onDrawFrame=-698089472
12-20 17:07:17.674  4451  4821 D LiveCloudPlayer.java: [onPlayerMsg:1130] JPLAYER_MSG_VIDEO_IS_READY. para1: 2566
12-20 17:07:17.681  4451  4494 I LocalServer: [2017-12-20 17:07:17.681520 4451 4494] on_server_data: offset=2471120, len=1360
12-20 17:07:17.682  4451  4494 I LocalServer: [2017-12-20 17:07:17.682262 4451 4494] on_server_data: offset=2472480, len=4080
12-20 17:07:17.682  4451  4494 I LocalServer: [2017-12-20 17:07:17.682836 4451 4494] on_server_data: offset=2476560, len=4080
12-20 17:07:17.688  4451  4494 I LocalServer: [2017-12-20 17:07:17.687937 4451 4494] on_server_data: offset=2480640, len=1360
12-20 17:07:17.688  4451  4494 I LocalServer: [2017-12-20 17:07:17.688288 4451 4494] on_server_data: offset=2482000, len=1360
12-20 17:07:17.688  4451  4494 I LocalServer: [2017-12-20 17:07:17.688553 4451 4494] on_server_data: offset=2483360, len=1360
12-20 17:07:17.688  4451  4494 I LocalServer: [2017-12-20 17:07:17.688759 4451 4494] on_server_data: offset=2484720, len=1360
12-20 17:07:17.689  4451  4494 I LocalServer: [2017-12-20 17:07:17.689031 4451 4494] on_server_data: offset=2486080, len=1360
12-20 17:07:17.689  4451  4494 I LocalServer: [2017-12-20 17:07:17.689141 4451 4494] on_server_data: offset=2487440, len=1360
12-20 17:07:17.689  4451  4494 I LocalServer: [2017-12-20 17:07:17.689650 4451 4494] on_server_data: offset=2488800, len=1360
12-20 17:07:17.689  4451  4494 I LocalServer: [2017-12-20 17:07:17.689824 4451 4494] on_server_data: offset=2490160, len=1360
12-20 17:07:17.697  4451  4494 I LocalServer: [2017-12-20 17:07:17.697219 4451 4494] on_server_data: offset=2491520, len=1360
12-20 17:07:17.698  4451  4556 V GL2VideoView.java: [onDrawFrame:263] onDrawFrame=-698089472
12-20 17:07:17.698  4451  4494 I LocalServer: [2017-12-20 17:07:17.698450 4451 4494] on_server_data: offset=2492880, len=5440
12-20 17:07:17.699  4451  4494 I LocalServer: [2017-12-20 17:07:17.699130 4451 4494] on_server_data: offset=2498320, len=1360
12-20 17:07:17.703  4451  4494 I LocalServer: [2017-12-20 17:07:17.703680 4451 4494] on_server_data: offset=2499680, len=1360
12-20 17:07:17.704  4451  4494 I LocalServer: [2017-12-20 17:07:17.704162 4451 4494] on_server_data: offset=2501040, len=1360
12-20 17:07:17.704  4451  4494 I LocalServer: [2017-12-20 17:07:17.704376 4451 4494] on_server_data: offset=2502400, len=1360
12-20 17:07:17.706  4451  4494 I LocalServer: [2017-12-20 17:07:17.706091 4451 4494] on_server_data: offset=2503760, len=1360
12-20 17:07:17.709  4451  4494 I LocalServer: [2017-12-20 17:07:17.709452 4451 4494] on_server_data: offset=2505120, len=1360
12-20 17:07:17.709  4451  4821 D LiveCloudPlayer.java: [onPlayerMsg:1130] JPLAYER_MSG_VIDEO_IS_READY. para1: 2606
12-20 17:07:17.710  4451  4494 I LocalServer: [2017-12-20 17:07:17.710765 4451 4494] on_server_data: offset=2506480, len=2720
12-20 17:07:17.711  4451  4494 I LocalServer: [2017-12-20 17:07:17.711050 4451 4494] on_server_data: offset=2509200, len=2720
12-20 17:07:17.711  4451  4494 I LocalServer: [2017-12-20 17:07:17.711736 4451 4494] on_server_data: offset=2511920, len=4080
12-20 17:07:17.714  4451  4494 I LocalServer: [2017-12-20 17:07:17.714242 4451 4494] on_server_data: offset=2516000, len=2720
12-20 17:07:17.714  4451  4494 I LocalServer: [2017-12-20 17:07:17.714457 4451 4494] on_server_data: offset=2518720, len=1360
12-20 17:07:17.714  4451  4494 I LocalServer: [2017-12-20 17:07:17.714729 4451 4494] on_server_data: offset=2520080, len=1360
12-20 17:07:17.714  4451  4494 I LocalServer: [2017-12-20 17:07:17.714874 4451 4494] on_server_data: offset=2521440, len=1360
12-20 17:07:17.715  4451  4494 I LocalServer: [2017-12-20 17:07:17.715094 4451 4494] on_server_data: offset=2522800, len=1360
12-20 17:07:17.733  4451  4556 V GL2VideoView.java: [onDrawFrame:263] onDrawFrame=-698089472
12-20 17:07:17.733  4451  4494 I LocalServer: [2017-12-20 17:07:17.733810 4451 4494] on_server_data: offset=2524160, len=1360
12-20 17:07:17.734  4451  4494 I LocalServer: [2017-12-20 17:07:17.734046 4451 4494] on_server_data: offset=2525520, len=1360
12-20 17:07:17.734  4451  4494 I LocalServer: [2017-12-20 17:07:17.734150 4451 4494] on_server_data: offset=2526880, len=1360
12-20 17:07:17.734  4451  4494 I LocalServer: [2017-12-20 17:07:17.734470 4451 4494] on_server_data: offset=2528240, len=1360
12-20 17:07:17.734  4451  4494 I LocalServer: [2017-12-20 17:07:17.734836 4451 4494] on_server_data: offset=2529600, len=1360
12-20 17:07:17.735  4451  4494 I LocalServer: [2017-12-20 17:07:17.734981 4451 4494] on_server_data: offset=2530960, len=1360
12-20 17:07:17.740  4451  4494 I LocalServer: [2017-12-20 17:07:17.740779 4451 4494] on_server_data: offset=2532320, len=1360
12-20 17:07:17.741  4451  4494 I LocalServer: [2017-12-20 17:07:17.741092 4451 4494] on_server_data: offset=2533680, len=1360
12-20 17:07:17.741  4451  4494 I LocalServer: [2017-12-20 17:07:17.741911 4451 4494] on_server_data: offset=2535040, len=1360
12-20 17:07:17.742  4451  4494 I LocalServer: [2017-12-20 17:07:17.742264 4451 4494] on_server_data: offset=2536400, len=1360
12-20 17:07:17.742  4451  4494 I LocalServer: [2017-12-20 17:07:17.742432 4451 4494] on_server_data: offset=2537760, len=1360
12-20 17:07:17.743  4451  4494 I LocalServer: [2017-12-20 17:07:17.743634 4451 4494] on_server_data: offset=2539120, len=2720
12-20 17:07:17.743  4451  4494 I LocalServer: [2017-12-20 17:07:17.743890 4451 4494] on_server_data: offset=2541840, len=1360
12-20 17:07:17.747  4451  4821 D LiveCloudPlayer.java: [onPlayerMsg:1130] JPLAYER_MSG_VIDEO_IS_READY. para1: 2646
12-20 17:07:17.749  4451  4494 I LocalServer: [2017-12-20 17:07:17.749275 4451 4494] on_server_data: offset=2543200, len=1360
12-20 17:07:17.750  4451  4494 I LocalServer: [2017-12-20 17:07:17.750298 4451 4494] on_server_data: offset=2544560, len=2720
12-20 17:07:17.750  4451  4494 I LocalServer: [2017-12-20 17:07:17.750531 4451 4494] on_server_data: offset=2547280, len=2720
12-20 17:07:17.751  4451  4494 I LocalServer: [2017-12-20 17:07:17.751417 4451 4494] on_server_data: offset=2550000, len=1360
12-20 17:07:17.754  4451  4494 I LocalServer: [2017-12-20 17:07:17.754882 4451 4494] on_server_data: offset=2551360, len=1360
12-20 17:07:17.755  4451  4494 I LocalServer: [2017-12-20 17:07:17.755143 4451 4494] on_server_data: offset=2552720, len=1360
12-20 17:07:17.755  4451  4494 I LocalServer: [2017-12-20 17:07:17.755271 4451 4494] on_server_data: offset=2554080, len=1360
12-20 17:07:17.755  4451  4494 I LocalServer: [2017-12-20 17:07:17.755342 4451 4494] on_server_data: offset=2555440, len=1360
12-20 17:07:17.761  4451  4494 I LocalServer: [2017-12-20 17:07:17.761255 4451 4494] on_server_data: offset=2556800, len=1360
12-20 17:07:17.761  4451  4494 I LocalServer: [2017-12-20 17:07:17.761836 4451 4494] on_server_data: offset=2558160, len=4080
12-20 17:07:17.763  4451  4494 I LocalServer: [2017-12-20 17:07:17.763284 4451 4494] on_server_data: offset=2562240, len=1360
12-20 17:07:17.764  4451  4494 I LocalServer: [2017-12-20 17:07:17.764117 4451 4494] on_server_data: offset=2563600, len=1360
12-20 17:07:17.765  4451  4494 I LocalServer: [2017-12-20 17:07:17.765759 4451 4494] on_server_data: offset=2564960, len=1360
12-20 17:07:17.766  4451  4494 I LocalServer: [2017-12-20 17:07:17.765984 4451 4494] on_server_data: offset=2566320, len=1360
12-20 17:07:17.766  4451  4494 I LocalServer: [2017-12-20 17:07:17.766082 4451 4494] on_server_data: offset=2567680, len=1360
12-20 17:07:17.766  4451  4494 I LocalServer: [2017-12-20 17:07:17.766372 4451 4494] on_server_data: offset=2569040, len=1360
12-20 17:07:17.766  4451  4494 I LocalServer: [2017-12-20 17:07:17.766732 4451 4494] on_server_data: offset=2570400, len=1360
12-20 17:07:17.768  4451  4494 I LocalServer: [2017-12-20 17:07:17.768670 4451 4494] on_server_data: offset=2571760, len=1360
12-20 17:07:17.769  4451  4494 I LocalServer: [2017-12-20 17:07:17.769562 4451 4494] on_server_data: offset=2573120, len=1360
12-20 17:07:17.769  4451  4494 I LocalServer: [2017-12-20 17:07:17.769785 4451 4494] on_server_data: offset=2574480, len=2720
12-20 17:07:17.786  4451  4494 I LocalServer: [2017-12-20 17:07:17.786084 4451 4494] on_server_data: offset=2577200, len=1360
12-20 17:07:17.788  4451  4494 I LocalServer: [2017-12-20 17:07:17.788271 4451 4494] on_server_data: offset=2578560, len=1360
12-20 17:07:17.788  4451  4494 I LocalServer: [2017-12-20 17:07:17.788507 4451 4494] on_server_data: offset=2579920, len=5440
12-20 17:07:17.789  4451  4556 V GL2VideoView.java: [onDrawFrame:263] onDrawFrame=-698089472
12-20 17:07:17.794  4451  4494 I LocalServer: [2017-12-20 17:07:17.794501 4451 4494] on_server_data: offset=2585360, len=1360
12-20 17:07:17.795  4451  4494 I LocalServer: [2017-12-20 17:07:17.795478 4451 4494] on_server_data: offset=2586720, len=4080
12-20 17:07:17.801  4451  4494 I LocalServer: [2017-12-20 17:07:17.800946 4451 4494] on_server_data: offset=2590800, len=1360
12-20 17:07:17.801  4451  4494 I LocalServer: [2017-12-20 17:07:17.801310 4451 4494] on_server_data: offset=2592160, len=1360
12-20 17:07:17.801  4451  4494 I LocalServer: [2017-12-20 17:07:17.801499 4451 4494] on_server_data: offset=2593520, len=1360
12-20 17:07:17.802  4451  4494 I LocalServer: [2017-12-20 17:07:17.802188 4451 4494] on_server_data: offset=2594880, len=1360
12-20 17:07:17.802  4451  4494 I LocalServer: [2017-12-20 17:07:17.802420 4451 4494] on_server_data: offset=2596240, len=2720
12-20 17:07:17.803  4451  4494 I LocalServer: [2017-12-20 17:07:17.803650 4451 4494] on_server_data: offset=2598960, len=2720
12-20 17:07:17.803  4451  4494 I LocalServer: [2017-12-20 17:07:17.803915 4451 4494] on_server_data: offset=2601680, len=2720
12-20 17:07:17.806  4451  4494 I LocalServer: [2017-12-20 17:07:17.806620 4451 4494] on_server_data: offset=2604400, len=1360
12-20 17:07:17.807  4451  4494 I LocalServer: [2017-12-20 17:07:17.807500 4451 4494] on_server_data: offset=2605760, len=4080
12-20 17:07:17.811  4451  4821 D LiveCloudPlayer.java: [onPlayerMsg:1130] JPLAYER_MSG_VIDEO_IS_READY. para1: 2686
12-20 17:07:17.814  4451  4494 I LocalServer: [2017-12-20 17:07:17.813949 4451 4494] on_server_data: offset=2609840, len=1360
12-20 17:07:17.815  4451  4494 I LocalServer: [2017-12-20 17:07:17.815448 4451 4494] on_server_data: offset=2611200, len=2720
12-20 17:07:17.815  4451  4494 I LocalServer: [2017-12-20 17:07:17.815701 4451 4494] on_server_data: offset=2613920, len=4080
12-20 17:07:17.823  4451  4556 V GL2VideoView.java: [onDrawFrame:263] onDrawFrame=-698089472
12-20 17:07:17.826  4451  4494 I LocalServer: [2017-12-20 17:07:17.826560 4451 4494] on_server_data: offset=2618000, len=2720
12-20 17:07:17.826  4451  4494 I LocalServer: [2017-12-20 17:07:17.826794 4451 4494] on_server_data: offset=2620720, len=1360
12-20 17:07:17.827  4451  4494 I LocalServer: [2017-12-20 17:07:17.827009 4451 4494] on_server_data: offset=2622080, len=1360
12-20 17:07:17.827  4451  4494 I LocalServer: [2017-12-20 17:07:17.827194 4451 4494] on_server_data: offset=2623440, len=1360
12-20 17:07:17.827  4451  4494 I LocalServer: [2017-12-20 17:07:17.827456 4451 4494] on_server_data: offset=2624800, len=1360
12-20 17:07:17.827  4451  4494 I LocalServer: [2017-12-20 17:07:17.827720 4451 4494] on_server_data: offset=2626160, len=1360
12-20 17:07:17.828  4451  4494 I LocalServer: [2017-12-20 17:07:17.827977 4451 4494] on_server_data: offset=2627520, len=1360
12-20 17:07:17.828  4451  4494 I LocalServer: [2017-12-20 17:07:17.828193 4451 4494] on_server_data: offset=2628880, len=1360
12-20 17:07:17.829  4451  4494 I LocalServer: [2017-12-20 17:07:17.829084 4451 4494] on_server_data: offset=2630240, len=1360
12-20 17:07:17.839  4451  4821 D LiveCloudPlayer.java: [onPlayerMsg:1130] JPLAYER_MSG_VIDEO_IS_READY. para1: 2726
12-20 17:07:17.840  4451  4494 I LocalServer: [2017-12-20 17:07:17.840821 4451 4494] on_server_data: offset=2631600, len=1360
12-20 17:07:17.841  4451  4494 I LocalServer: [2017-12-20 17:07:17.841049 4451 4494] on_server_data: offset=2632960, len=1360
12-20 17:07:17.841  4451  4494 I LocalServer: [2017-12-20 17:07:17.841379 4451 4494] on_server_data: offset=2634320, len=1360
12-20 17:07:17.841  4451  4494 I LocalServer: [2017-12-20 17:07:17.841614 4451 4494] on_server_data: offset=2635680, len=1360
12-20 17:07:17.841  4451  4494 I LocalServer: [2017-12-20 17:07:17.841906 4451 4494] on_server_data: offset=2637040, len=1360
12-20 17:07:17.842  4451  4494 I LocalServer: [2017-12-20 17:07:17.842307 4451 4494] on_server_data: offset=2638400, len=1360
12-20 17:07:17.848  4451  4556 V GL2VideoView.java: [onDrawFrame:263] onDrawFrame=-698089472
12-20 17:07:17.849  4451  4494 I LocalServer: [2017-12-20 17:07:17.849001 4451 4494] on_server_data: offset=2639760, len=1360
12-20 17:07:17.851  4451  4494 I LocalServer: [2017-12-20 17:07:17.851038 4451 4494] on_server_data: offset=2641120, len=4080
12-20 17:07:17.853  4451  4494 I LocalServer: [2017-12-20 17:07:17.853623 4451 4494] on_server_data: offset=2645200, len=1360
12-20 17:07:17.855  4451  4494 I LocalServer: [2017-12-20 17:07:17.855081 4451 4494] on_server_data: offset=2646560, len=1360
12-20 17:07:17.855  4451  4494 I LocalServer: [2017-12-20 17:07:17.855334 4451 4494] on_server_data: offset=2647920, len=1360
12-20 17:07:17.856  4451  4494 I LocalServer: [2017-12-20 17:07:17.856435 4451 4494] on_server_data: offset=2649280, len=1360
12-20 17:07:17.856  4451  4494 I LocalServer: [2017-12-20 17:07:17.856707 4451 4494] on_server_data: offset=2650640, len=4080
12-20 17:07:17.857  4451  4494 I LocalServer: [2017-12-20 17:07:17.857386 4451 4494] on_server_data: offset=2654720, len=1360
12-20 17:07:17.857  4451  4494 I LocalServer: [2017-12-20 17:07:17.857647 4451 4494] on_server_data: offset=2656080, len=2720
12-20 17:07:17.858  4451  4821 D LiveCloudPlayer.java: [onPlayerMsg:1130] JPLAYER_MSG_VIDEO_IS_READY. para1: 2766
12-20 17:07:17.859  4451  4494 I LocalServer: [2017-12-20 17:07:17.858979 4451 4494] on_server_data: offset=2658800, len=1360
12-20 17:07:17.860  4451  4494 I LocalServer: [2017-12-20 17:07:17.860911 4451 4494] on_server_data: offset=2660160, len=2720
12-20 17:07:17.861  4451  4494 I LocalServer: [2017-12-20 17:07:17.861167 4451 4494] on_server_data: offset=2662880, len=1360
12-20 17:07:17.866  4451  4494 I LocalServer: [2017-12-20 17:07:17.866440 4451 4494] on_server_data: offset=2664240, len=1360
12-20 17:07:17.866  4451  4494 I LocalServer: [2017-12-20 17:07:17.866729 4451 4494] on_server_data: offset=2665600, len=2720
12-20 17:07:17.867  4451  4494 I LocalServer: [2017-12-20 17:07:17.867006 4451 4494] on_server_data: offset=2668320, len=1360
12-20 17:07:17.867  4451  4494 I LocalServer: [2017-12-20 17:07:17.867175 4451 4494] on_server_data: offset=2669680, len=1360
12-20 17:07:17.867  4451  4494 I LocalServer: [2017-12-20 17:07:17.867459 4451 4494] on_server_data: offset=2671040, len=1360
12-20 17:07:17.879  4451  4494 I LocalServer: [2017-12-20 17:07:17.879525 4451 4494] on_server_data: offset=2672400, len=1360
12-20 17:07:17.879  4451  4494 I LocalServer: [2017-12-20 17:07:17.879828 4451 4494] on_server_data: offset=2673760, len=2720
12-20 17:07:17.883  4451  4494 I LocalServer: [2017-12-20 17:07:17.883000 4451 4494] on_server_data: offset=2676480, len=1360
12-20 17:07:17.883  4451  4494 I LocalServer: [2017-12-20 17:07:17.883323 4451 4494] on_server_data: offset=2677840, len=1360
12-20 17:07:17.883  4451  4494 I LocalServer: [2017-12-20 17:07:17.883447 4451 4494] on_server_data: offset=2679200, len=1360
12-20 17:07:17.883  4451  4494 I LocalServer: [2017-12-20 17:07:17.883864 4451 4494] on_server_data: offset=2680560, len=2720
12-20 17:07:17.884  4451  4494 I LocalServer: [2017-12-20 17:07:17.884143 4451 4494] on_server_data: offset=2683280, len=1360
12-20 17:07:17.884  4451  4494 I LocalServer: [2017-12-20 17:07:17.884313 4451 4494] on_server_data: offset=2684640, len=1360
12-20 17:07:17.884  4451  4494 I LocalServer: [2017-12-20 17:07:17.884559 4451 4494] on_server_data: offset=2686000, len=1360
12-20 17:07:17.893  4451  4494 I LocalServer: [2017-12-20 17:07:17.893187 4451 4494] on_server_data: offset=2687360, len=1360
12-20 17:07:17.894  4451  4494 I LocalServer: [2017-12-20 17:07:17.894359 4451 4494] on_server_data: offset=2688720, len=2720
12-20 17:07:17.894  4451  4494 I LocalServer: [2017-12-20 17:07:17.894656 4451 4494] on_server_data: offset=2691440, len=4080
12-20 17:07:17.902  4451  4494 I LocalServer: [2017-12-20 17:07:17.902339 4451 4494] on_server_data: offset=2695520, len=1360
12-20 17:07:17.903  4451  4494 I LocalServer: [2017-12-20 17:07:17.903214 4451 4494] on_server_data: offset=2696880, len=2720
12-20 17:07:17.903  4451  4494 I LocalServer: [2017-12-20 17:07:17.903435 4451 4494] on_server_data: offset=2699600, len=1360
12-20 17:07:17.907  4451  4494 I LocalServer: [2017-12-20 17:07:17.907326 4451 4494] on_server_data: offset=2700960, len=1360
12-20 17:07:17.908  4451  4494 I LocalServer: [2017-12-20 17:07:17.908056 4451 4494] on_server_data: offset=2702320, len=1360
12-20 17:07:17.911  4451  4494 I LocalServer: [2017-12-20 17:07:17.911807 4451 4494] on_server_data: offset=2703680, len=1360
12-20 17:07:17.912  4451  4494 I LocalServer: [2017-12-20 17:07:17.912095 4451 4494] on_server_data: offset=2705040, len=1360
12-20 17:07:17.912  4451  4494 I LocalServer: [2017-12-20 17:07:17.912224 4451 4494] on_server_data: offset=2706400, len=1360
12-20 17:07:17.913  4451  4494 I LocalServer: [2017-12-20 17:07:17.913720 4451 4494] on_server_data: offset=2707760, len=2720
12-20 17:07:17.913  4451  4494 I LocalServer: [2017-12-20 17:07:17.913954 4451 4494] on_server_data: offset=2710480, len=5440
12-20 17:07:17.914  4451  4494 I LocalServer: [2017-12-20 17:07:17.914125 4451 4494] on_server_data: offset=2715920, len=2720
12-20 17:07:17.914  4451  4494 I LocalServer: [2017-12-20 17:07:17.914285 4451 4494] on_server_data: offset=2718640, len=1360
12-20 17:07:17.914  4451  4556 V GL2VideoView.java: [onDrawFrame:263] onDrawFrame=-698089472
12-20 17:07:17.918  4451  4494 I LocalServer: [2017-12-20 17:07:17.918310 4451 4494] on_server_data: offset=2720000, len=1360
12-20 17:07:17.920  4451  4494 I LocalServer: [2017-12-20 17:07:17.919982 4451 4494] on_server_data: offset=2721360, len=2720
12-20 17:07:17.920  4451  4494 I LocalServer: [2017-12-20 17:07:17.920272 4451 4494] on_server_data: offset=2724080, len=4080
12-20 17:07:17.927  4451  4821 D LiveCloudPlayer.java: [onPlayerMsg:1130] JPLAYER_MSG_VIDEO_IS_READY. para1: 2806
12-20 17:07:17.933  4451  4494 I LocalServer: [2017-12-20 17:07:17.933246 4451 4494] on_server_data: offset=2728160, len=1360
12-20 17:07:17.933  4451  4494 I LocalServer: [2017-12-20 17:07:17.933479 4451 4494] on_server_data: offset=2729520, len=1360
12-20 17:07:17.936  4451  4494 I LocalServer: [2017-12-20 17:07:17.936076 4451 4494] on_server_data: offset=2730880, len=1360
12-20 17:07:17.937  4451  4494 I LocalServer: [2017-12-20 17:07:17.937564 4451 4494] on_server_data: offset=2732240, len=1360
12-20 17:07:17.937  4451  4494 I LocalServer: [2017-12-20 17:07:17.937780 4451 4494] on_server_data: offset=2733600, len=1360
12-20 17:07:17.938  4451  4494 I LocalServer: [2017-12-20 17:07:17.938042 4451 4494] on_server_data: offset=2734960, len=1360
12-20 17:07:17.938  4451  4494 I LocalServer: [2017-12-20 17:07:17.938460 4451 4494] on_server_data: offset=2736320, len=1360
12-20 17:07:17.938  4451  4494 I LocalServer: [2017-12-20 17:07:17.938619 4451 4494] on_server_data: offset=2737680, len=1360
12-20 17:07:17.939  4451  4494 I LocalServer: [2017-12-20 17:07:17.938930 4451 4494] on_server_data: offset=2739040, len=1360
12-20 17:07:17.939  4451  4494 I LocalServer: [2017-12-20 17:07:17.939214 4451 4494] on_server_data: offset=2740400, len=1360
12-20 17:07:17.950  4451  4556 V GL2VideoView.java: [onDrawFrame:263] onDrawFrame=-698089472
12-20 17:07:17.967  4451  4821 D LiveCloudPlayer.java: [onPlayerMsg:1130] JPLAYER_MSG_VIDEO_IS_READY. para1: 2846
12-20 17:07:17.967  4451  4494 I LocalServer: [2017-12-20 17:07:17.967388 4451 4494] on_server_data: offset=2741760, len=2720
12-20 17:07:17.968  4451  4494 I LocalServer: [2017-12-20 17:07:17.968029 4451 4494] on_server_data: offset=2744480, len=2720
12-20 17:07:17.968  4451  4494 I LocalServer: [2017-12-20 17:07:17.968647 4451 4494] on_server_data: offset=2747200, len=4080
12-20 17:07:17.970  4451  4494 I LocalServer: [2017-12-20 17:07:17.970573 4451 4494] on_server_data: offset=2751280, len=4080
12-20 17:07:17.970  4451  4556 V GL2VideoView.java: [onDrawFrame:263] onDrawFrame=-698089472
12-20 17:07:17.974  4451  4494 I LocalServer: [2017-12-20 17:07:17.974795 4451 4494] on_server_data: offset=2755360, len=1360
12-20 17:07:17.975  4451  4494 I LocalServer: [2017-12-20 17:07:17.975385 4451 4494] on_server_data: offset=2756720, len=4080
12-20 17:07:17.977  4451  4494 I LocalServer: [2017-12-20 17:07:17.977448 4451 4494] on_server_data: offset=2760800, len=2720
12-20 17:07:17.977  4451  4494 I LocalServer: [2017-12-20 17:07:17.977810 4451 4494] on_server_data: offset=2763520, len=4080
12-20 17:07:17.980  4451  4494 I LocalServer: [2017-12-20 17:07:17.980383 4451 4494] on_server_data: offset=2767600, len=1360
12-20 17:07:17.981  4451  4494 I LocalServer: [2017-12-20 17:07:17.981493 4451 4494] on_server_data: offset=2768960, len=1360
12-20 17:07:17.981  4451  4494 I LocalServer: [2017-12-20 17:07:17.981811 4451 4494] on_server_data: offset=2770320, len=5440
12-20 17:07:17.985  4451  4494 I LocalServer: [2017-12-20 17:07:17.984906 4451 4494] on_server_data: offset=2775760, len=6800
12-20 17:07:17.991  4451  4821 D LiveCloudPlayer.java: [onPlayerMsg:1130] JPLAYER_MSG_VIDEO_IS_READY. para1: 2886
12-20 17:07:18.007  4451  4556 V GL2VideoView.java: [onDrawFrame:263] onDrawFrame=-698089472
